หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
AWC,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้นที่ 54 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร,10120,0-2180-9999,0-2180-9966,https://www.assetworldcorp-th.com,
AXTRART,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แอ็กซ์ตร้า ฟิวเจอร์ ซิตี้,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 111 ชั้น 10 ห้อง 1001/1 อาคารทรู ดิจิทัล พาร์ค เวสต์ ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,10260,06-3848-4677,-,www.axtrart.com,
AYUD,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,"อาคารเพลินจิตทาวเวอร์ ชั้น 7, 898 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร",10330,0-2657-2970,0-2657-2971,www.ayud.co.th,
B,บริษัท บี จิสติกส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 52 อาคารธนิยะ พลาซ่า ชั้นที่ 28 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร,10500,0-2096-4999,-,WWW.BEGISTICS.CO.TH,
B52,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 55 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2645-3999,-,www.b52.co.th,
BA,บริษัท การบินกรุงเทพ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 99 หมู่ที่ 14 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร,10900,0-2265-5678,0-2265-5500,http://www.bangkokair.com,
BAFS,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,171/2 ถนนกำแพงเพชร 6 แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร,10210,0-2834-8900,0-2834-8999,www.bafsthai.com,
BAM,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,99 ถนนสุรศักดิ์ แขวงสีลม เขตบางรัก กรุงเทพมหานคร,10500,0-2267-1900,0-2266-3377,www.bam.co.th,
BANPU,บริษัท บ้านปู จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารธนภูมิ ชั้น 27, 1550 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร",10400,0-2694-6600,0-2207-0696,http://www.banpu.com,
BAREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์สนามบินการบินกรุงเทพ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,99 หมู่ที่ 14 ถนนวิภาวดี-รังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร,-,0-2265-5834,-,www.bareit.co.th,
BAY,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,1222 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร,10120,"0-2296-2000, 0-2683-1000",0-2683-1304,www.krungsri.com,
BBGI,บริษัท บีบีจีไอ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,2098 อาคารเอ็ม ทาวเวอร์ ชั้นที่ 5 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,0-2335-8814,0-2335-8800,https://www.bbgigroup.com/,
BBIK,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 51 ถนนนราธิวาสราชนครินทร์ แขวงสีลม เขตบางรัก กรุงเทพมหานคร,10500,0-2636-7011,-,https://www.bluebik.com,
BBL,ธนาคารกรุงเทพ จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,333 ถนนสีลม เขตบางรัก กรุงเทพมหานคร,10500,0-2231-4333,0-2231-4890,www.bangkokbank.com,
BC,บริษัท บูทิค คอร์ปอเรชั่น จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,170/67 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้น 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร,10110,0-2620-8777,0-2620-8778,https://www.boutiquecorporation.com,
BCH,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน),SET,บริการ,การแพทย์,44 หมู่ 4 ตำบลปากเกร็ด อำเภอปากเกร็ด นนทบุรี,11120,0-2836-9999,0-2106-4858,www.bangkokchainhospital.com,
BCP,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 2098 อาคารเอ็ม ทาวเวอร์ ชั้น 8 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,0-2335-8888,0-2335-8000,http://www.bangchak.co.th,
BCPG,บริษัท บีซีพีจี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,อาคาร เอ็ม ทาวเวอร์ ชั้น 12 เลขที่ 2098 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,10260,-,-,www.bcpggroup.com,
